TRACT,RESPNUM_,SEX,EDUCATION,AGE,Xcoord0,Ycoord0,Xcoord1,Ycoord1
42101006900,3051,1,2,32,-75.2208552953605,39.931354152014706,-75.21329215835664,39.93052522757828
42101007000,174,1,4,55,-75.2228074282781,39.93650951692168,-75.22317415162595,39.93688885036404
42101007800,2291,1,5,31,-75.21533952504203,39.9468613271228,-75.2160838334744,39.94439550198766
42101007800,1516,1,4,24,-75.21523221298173,39.94783841346664,-75.21269734529172,39.94516408235027
42101007100,1628,2,2,41,-75.229476483091,39.93915512390661,-75.22128509377062,39.93993936984595
42101007400,2458,1,2,70,-75.21330397804573,39.93822130834621,-75.20802264614444,39.942555713628536
42101007800,693,1,2,64,-75.21522960248588,39.945036753255195,-75.22129846925203,39.9465410533048
42101007800,300,2,5,33,-75.21441392898174,39.944289935489685,-75.22037619129266,39.94613523136294
42101007200,2968,1,3,44,-75.2373433242145,39.94487416574876,-75.2304171139097,39.9448842983916
42101006900,226,1,3,40,-75.21709494577229,39.93372965689445,-75.21654697513955,39.92792594525815
42101007700,625,2,2,59,-75.20523076260886,39.94397547616031,-75.2115945797737,39.94837798653259
42101007000,2455,1,1,47,-75.22472033638955,39.93450615853505,-75.22094930380509,39.93583760806853
42101007200,167,1,2,52,-75.22796059684575,39.94521244745442,-75.2310408595832,39.94209960404299
42101007100,3085,1,3,48,-75.22515531138113,39.94050997933265,-75.22796748033366,39.93647348473148
42101006900,1518,1,2,53,-75.22029787475762,39.93055747420932,-75.22172526714397,39.930973682634715
42101007000,1905,1,3,45,-75.2229526641036,39.937310174730996,-75.21891319584738,39.938134503467985
42101007800,1570,2,4,41,-75.21527495568054,39.947218881833734,-75.21443475978167,39.946914969593344
42101007100,2273,1,2,39,-75.22782792497601,39.94395311625837,-75.22326303883082,39.94157960876003
42101007400,358,1,1,58,-75.21735672110911,39.943027950514974,-75.21559151057632,39.93878479200828
42101007400,3134,1,3,69,-75.21070737508558,39.94473132732401,-75.21505566587588,39.93636479127802
42101007800,2969,1,4,69,-75.21855507203905,39.947474480351254,-75.21706503857543,39.947110132081306
42101007100,3017,1,5,50,-75.22798271630778,39.940090836473544,-75.22948611267961,39.94298660208956
42101007300,1469,2,2,53,-75.2193858766112,39.94192705558146,-75.22106856521265,39.94574154258354
42101007800,118,2,4,46,-75.2187464351521,39.94400014327931,-75.21256549937024,39.94803672648831
42101006900,1433,1,2,42,-75.21933072748465,39.93192575020967,-75.21057572641311,39.930632262834905
42101007000,330,1,4,49,-75.22273420963407,39.937471713111,-75.22191674365078,39.935324873341074
42101007800,279,1,5,27,-75.21764735394015,39.94755439251607,-75.2160551608582,39.94558215838486
42101007300,2406,1,1,63,-75.22274283586677,39.94223205723729,-75.21949574017815,39.94281898281403
42101007100,3024,1,4,57,-75.22597548778342,39.94147186626723,-75.22580288703179,39.936767632881946
42101007000,834,1,1,43,-75.22063076949473,39.93696181943296,-75.21837148108418,39.93690547696672
42101007300,1879,2,2,41,-75.22386209814091,39.942692127443976,-75.22452982483273,39.94625715308898
42101007100,2454,1,3,32,-75.22596652859107,39.93987630503702,-75.22945592044576,39.938110439038724
42101007200,1412,1,2,60,-75.23526980936583,39.9421042126567,-75.23416272788532,39.94150113895092
42101007100,36,1,3,69,-75.2279679311335,39.939453737498965,-75.22603289427747,39.94281996816956
42101007000,2365,1,2,70,-75.2222553395735,39.935928641750756,-75.21825502877282,39.937665813846046
42101007100,2424,2,5,45,-75.22808763043868,39.94087519100036,-75.23035119995023,39.93814610353765
42101007800,2505,1,5,31,-75.21546766412072,39.94658814775112,-75.22017604042912,39.9481222672601
42101007200,2109,1,4,48,-75.231537029907,39.94317248570272,-75.23185244657063,39.944613672148414
42101007300,2199,1,4,52,-75.22087818706837,39.94134058397092,-75.21921752908577,39.94224544052096
42101007000,3241,1,2,62,-75.22113716142265,39.93680637447387,-75.22155065892204,39.933676666256716
42101007100,217,1,2,60,-75.2237710649143,39.94138245889018,-75.22520116938897,39.94092777331754
42101007000,2617,1,3,21,-75.22342909146379,39.93635565439639,-75.22157904595589,39.935755777604996
42101007700,3056,2,3,57,-75.21006180159141,39.94489832040425,-75.20780120398373,39.948671436264036
42101007100,1478,1,3,24,-75.230501914593,39.938072171999444,-75.22903763122328,39.93692239492067
42101007200,2324,2,2,65,-75.23372864561567,39.94177058648628,-75.23277595921968,39.94197950916037
42101007800,2469,2,2,78,-75.21037291357703,39.94670404296067,-75.21155186316875,39.94728305432844
42101007000,1323,1,1,35,-75.21986602264768,39.93740281961261,-75.21955074550601,39.93317791984327
42101007300,2177,1,3,49,-75.21768667041555,39.9433724761935,-75.22132843488043,39.944709803095186
42101007800,244,1,4,25,-75.21310376320557,39.94731339317897,-75.21766351648296,39.94416437263964
42101006900,2954,1,1,24,-75.21648318176831,39.93402141184628,-75.21625095720653,39.928643448436375
42101007000,942,1,2,66,-75.22176817441205,39.934710096786034,-75.21571565097668,39.9355741691284
42101007800,2575,1,5,36,-75.21808651655019,39.946452471288424,-75.21684048662833,39.94429794377318
42101007800,72,1,2,64,-75.21398940322814,39.94768563475177,-75.21182064467567,39.94675405570307
42101007800,214,1,5,32,-75.21604283995438,39.94649131345808,-75.21637999261479,39.94451408707978
42101007700,3075,1,3,72,-75.2061325224294,39.94809884993228,-75.20687251329507,39.94745055496878
42101006900,2095,1,2,66,-75.21428385669257,39.933031796336046,-75.21276194783424,39.93037433637507
42101007200,2908,1,3,49,-75.23550200925345,39.942763814756574,-75.23237660849142,39.94128696765698
42101007300,882,2,3,35,-75.22088460083988,39.94198612070097,-75.22225923329874,39.943569275934365
42101007300,3181,1,3,36,-75.22378534572591,39.942531411107325,-75.2225311750043,39.941789971638066
42101007000,2604,1,2,88,-75.22216680196905,39.93475555624548,-75.2205129894891,39.93463479480145
42101007300,2477,1,1,45,-75.22132823053286,39.94169429795683,-75.22458764772094,39.944561794821944
42101007100,2985,1,2,22,-75.22963990617006,39.93874395971856,-75.22701067452749,39.94145424752948
42101007300,3468,1,2,45,-75.22186428423613,39.94365016635433,-75.22223911711863,39.941224356206114
42101007400,341,1,2,58,-75.21820552963115,39.94007344976492,-75.21623880499695,39.93762292386774
42101007400,2564,1,3,52,-75.21664350589566,39.943148979271584,-75.21048983071584,39.944182870670886
42101007300,1413,1,2,52,-75.22174524077121,39.94476149885068,-75.22348498248886,39.944540853850064
42101007100,2151,1,2,73,-75.22740941347618,39.943032012536484,-75.22152496737091,39.93966805290467
42101007800,1579,2,5,50,-75.21960939642646,39.94698397214227,-75.21290035090516,39.946259500703874
42101007800,814,2,3,29,-75.21633412314742,39.94486851464426,-75.21856290232839,39.946743536410374
42101007800,2863,2,5,48,-75.21540363569602,39.94660033591403,-75.21406051732885,39.94801996895006
42101007000,2528,1,2,19,-75.22136505870259,39.93638888463084,-75.22080664022234,39.93580250661525
42101007100,2075,2,3,61,-75.22274072949378,39.93783893433487,-75.22541123548707,39.93625415744078
42101007000,948,1,2,61,-75.21904960351905,39.93821417845505,-75.2234930782544,39.93416849972003
42101007400,3531,1,1,60,-75.22067980435759,39.9406068628675,-75.21421070834694,39.9390203637703
42101007100,757,1,3,59,-75.22617770191518,39.94048469210561,-75.22751798058235,39.93665788817295
42101007100,3366,2,5,34,-75.22529293633289,39.939616935315776,-75.2252369124913,39.941593681801244
42101007800,360,2,1,63,-75.21516109116801,39.94847717585721,-75.21177587702354,39.94650973430274
42101007100,162,2,3,36,-75.22372863368797,39.94179212533056,-75.22528502802486,39.94343263547045
42101007100,163,1,2,60,-75.23046865087322,39.937551919805294,-75.22845766371904,39.938147396658586
42101007800,2873,2,3,42,-75.21185162908287,39.94777489357008,-75.2112056777528,39.947391823131824
42101007400,13,2,3,50,-75.21210734929598,39.94242018690926,-75.2181288211534,39.940984708473884
42101006900,2121,1,1,56,-75.2183940606,39.932567283931576,-75.21367735198798,39.9289846616104
42101007200,717,1,2,42,-75.23601648278644,39.942633350352395,-75.22811831172261,39.94512011731239
42101007800,722,1,5,31,-75.21683864422887,39.94588385290766,-75.21742781522929,39.94632119673146
42101007200,1991,1,1,54,-75.23342460684835,39.9448871572265,-75.23305227685543,39.944037677042516
42101007000,2498,1,2,39,-75.2226516903633,39.93648789622021,-75.2185231953763,39.93682870893947
42101007100,787,1,3,57,-75.22714299300365,39.93949687885983,-75.22900190702572,39.93969699936689
42101007100,3189,2,4,52,-75.22657813130037,39.943985148012175,-75.22661884601892,39.93863366894327
42101006900,1553,1,2,54,-75.22008523604242,39.929960778991386,-75.21232757254721,39.92677864946822
42101007100,1424,2,4,54,-75.22578140405669,39.94137524287189,-75.22826063746383,39.94227774663629
