TRACT,RESPNUM_,FIPS,SEX,EDUCATION,AGE,Xcoord0,Ycoord0,Xcoord1,Ycoord1
1609,0074,421010074008,1,3,79,-75.2169464243645,39.941355428986455,-75.21357482987025,39.939765660879736
1565,0071,421010071002,1,3,30,-75.22513262025403,39.93668720930985,-75.22660568546549,39.9376746951179
132,0071,421010071004,1,4,46,-75.22730241871758,39.938881966815394,-75.22922794809834,39.937330652254275
3376,0071,421010071002,1,3,41,-75.22537059875998,39.93739926235563,-75.22596326693188,39.937556625093045
2073,0072,421010072002,2,3,47,-75.22737372584058,39.94476575966359,-75.23008708344688,39.944554067342374
925,0071,421010071007,2,2,43,-75.22459316054187,39.94256209583901,-75.2259540197792,39.944142115399174
1680,0071,421010071007,1,2,63,-75.22308304631214,39.94133196308034,-75.22453676625189,39.94150349772729
2581,0071,421010071004,1,4,35,-75.22910566654893,39.9372706235296,-75.23032172466786,39.9388389321362
1498,0071,421010071004,1,4,35,-75.22780690638928,39.93933666788935,-75.22883114782964,39.93849369537456
3000,0071,421010071001,1,2,83,-75.22116249672214,39.9389595566993,-75.22168192970223,39.93848892924382
31,0074,421010074002,2,5,45,-75.21249819680295,39.9435202263467,-75.21260138914297,39.942679770559074
2425,0078,421010078004,1,5,54,-75.21891019139554,39.94755250748311,-75.21835434876043,39.94654151918259
85,0073,421010073002,1,3,59,-75.2241604813841,39.94330675150539,-75.22155540938249,39.940938555650455
2908,0072,421010072002,1,3,49,-75.22969468567027,39.943313005570246,-75.22726193644786,39.94479240915285
1431,0074,421010074008,1,3,30,-75.21590126778601,39.94078268580003,-75.21488760288084,39.93922536991069
3017,0071,421010071008,1,5,50,-75.2257918402053,39.93916556226085,-75.2273141599418,39.94014871759837
1881,0072,421010072002,1,3,40,-75.22882001234261,39.94517220337176,-75.2291421394923,39.94446980099932
1356,0073,421010073002,1,4,55,-75.22189617764661,39.941543705205405,-75.22164359996857,39.94180691970475
1766,0071,421010071007,1,2,36,-75.22679510501054,39.94486433529264,-75.22694899212675,39.94332931563509
1432,0077,421010077001,2,3,20,-75.2067723509082,39.94745801342006,-75.20915936280751,39.946823570575496
1541,0078,421010078004,2,4,42,-75.21868596662529,39.9463455506211,-75.21946776781934,39.947354948434516
758,0074,421010074002,1,5,48,-75.21184401419235,39.94323464904942,-75.2117974548604,39.94338402788995
2153,0069,421010069001,1,2,19,-75.215597783012,39.92990620078953,-75.21775481997993,39.929440935859894
2969,0078,421010078001,1,4,69,-75.21133671223838,39.9469774898355,-75.21175237844736,39.94634489964248
801,0071,421010071007,1,2,58,-75.22618276162704,39.94229949026098,-75.22597845817934,39.942614332195056
3095,0077,421010077001,1,4,26,-75.2061926646957,39.948513271613486,-75.20715721173435,39.946518619333
245,0070,421010070004,1,2,24,-75.22447846515449,39.93447720005732,-75.22478390770445,39.93519378498017
2350,0073,421010073001,1,3,67,-75.22148727948462,39.94356548518847,-75.2208638428669,39.94267022897607
2177,0073,421010073002,1,3,49,-75.22204891655205,39.942029060183806,-75.22264578604889,39.94292884943233
2090,0077,421010077001,1,4,45,-75.20893939059076,39.94851603862648,-75.21179298810193,39.948249629819735
2236,0078,421010078004,1,5,61,-75.2172350915337,39.9463499433578,-75.21831614228097,39.94788813959959
1496,0071,421010071004,1,1,66,-75.22904444589176,39.93929539880174,-75.22888825037819,39.93826935271117
2872,0078,421010078004,2,4,54,-75.21728194741328,39.947499334628766,-75.2190752164494,39.94740780833304
1495,0071,421010071001,1,3,70,-75.22402620034907,39.93899913801425,-75.22283620961157,39.94105186283569
350,0071,421010071007,1,2,29,-75.22378839356695,39.94111587303126,-75.22442972542197,39.94175400914386
883,0078,421010078003,1,2,64,-75.22156115001859,39.94695035407902,-75.21837194829834,39.94504327352949
143,0069,421010069003,1,3,65,-75.22153430235231,39.93035777193405,-75.21914328747471,39.93217370351138
2075,0071,421010071002,2,3,61,-75.22472506760164,39.93811530738863,-75.22513955566586,39.93682909461972
1869,0074,421010074008,1,3,55,-75.21353343524807,39.9409251277964,-75.21392609144678,39.941302939924775
1428,0078,421010078001,1,4,52,-75.21460970359166,39.943546633540805,-75.21167989585072,39.94561220731108
1412,0072,421010072007,1,2,60,-75.2343426073525,39.94332983001737,-75.23129649463398,39.945233196469715
1742,0073,421010073001,1,1,81,-75.21913153812575,39.9430362382188,-75.21979496274064,39.942157758982404
2400,0078,421010078004,1,5,49,-75.22042580361915,39.947584528557705,-75.21809955858728,39.94557368047947
2539,0078,421010078005,2,3,28,-75.21413347933967,39.946768222283964,-75.21430409910276,39.947462147199815
736,0070,421010070006,1,1,59,-75.22117673021869,39.936478325678564,-75.21971052816988,39.9357079943363
739,0072,421010072007,1,2,66,-75.2326337052763,39.943819949454934,-75.23172671619565,39.94442376941141
2972,0078,421010078005,2,3,60,-75.21344327842944,39.9472896520305,-75.21210101441756,39.94803193427575
2851,0078,421010078001,1,4,40,-75.21486232156009,39.94311476811336,-75.21253598437869,39.94610435745712
258,0069,421010069001,1,3,49,-75.21030710267405,39.93013093953053,-75.21169400997653,39.93358998024175
300,0078,421010078004,2,5,33,-75.2175676495682,39.94841313350667,-75.21607951617865,39.94636024752112
1657,0074,421010074008,1,3,50,-75.21410009848853,39.93951820005725,-75.2155818320215,39.93945452815748
2151,0071,421010071001,1,2,73,-75.22369852156254,39.93819321796022,-75.22107559255669,39.93973926474885
16,0074,421010074006,2,2,59,-75.2180660155751,39.939911199519116,-75.21682477524098,39.939789083791005
2633,0071,421010071002,2,3,39,-75.22684688372227,39.93736925008004,-75.22529254094145,39.93632183886203
882,0073,421010073002,2,3,35,-75.22289737804203,39.942637893325184,-75.22285382052974,39.94264684436061
1443,0074,421010074008,1,3,48,-75.2171857536249,39.9408784688708,-75.2140519822815,39.94160070437665
3063,0078,421010078004,1,5,46,-75.21778805668751,39.94798268997196,-75.21718343006765,39.948085040974355
3190,0074,421010074006,1,2,40,-75.21927215598062,39.93942762254587,-75.21618161316083,39.93886952942454
174,0070,421010070001,1,4,55,-75.22000824133443,39.93701397333686,-75.2192640512374,39.93760731139162
3096,0072,421010072002,1,3,27,-75.23045329409484,39.94429810134319,-75.22880015350411,39.94457933209391
681,0072,421010072001,2,2,46,-75.22831229192727,39.9462993919789,-75.23209087451893,39.94672153116191
785,0078,421010078004,1,5,43,-75.21918887183392,39.94689502684151,-75.21983531767631,39.94699029703921
1455,0074,421010074006,1,2,40,-75.21848691992969,39.93986219050616,-75.21808028919598,39.94036223965335
824,0071,421010071007,1,2,34,-75.22343715783373,39.941273427704495,-75.22544082558836,39.94160069341865
2530,0071,421010071007,1,2,49,-75.2274642264164,39.9442208800433,-75.22532492694901,39.942879444193736
1701,0071,421010071001,1,2,68,-75.22327318707751,39.940516698709075,-75.22389869538388,39.93849167352048
1526,0069,421010069001,1,3,54,-75.215272619612,39.932420339568374,-75.21096655613525,39.93393481011973
1669,0072,421010072001,2,4,59,-75.23179642583817,39.946555382199456,-75.22921793568665,39.946694231897936
2109,0072,421010072001,1,4,48,-75.22850717214006,39.94638849238989,-75.22956176478544,39.94625695784411
1409,0072,421010072002,1,3,57,-75.22881177139979,39.94492419202903,-75.22719000736129,39.9449476551112
2424,0071,421010071008,2,5,45,-75.22581301597343,39.940443841120754,-75.22566476843879,39.94086785181496
1567,0074,421010074008,1,3,42,-75.21616487023972,39.9399313183891,-75.21503099205623,39.93996849105349
2625,0070,421010070001,1,4,38,-75.21879844784006,39.937619513396506,-75.22078658390339,39.93846673126059
1357,0073,421010073001,1,2,67,-75.21889811754299,39.94341474070406,-75.2193662378927,39.94292092398533
2327,0073,421010073002,1,3,22,-75.22221830915929,39.9411716297171,-75.22179704620338,39.94210246026774
