TRACT,RESPNUM_,SEX,EDUCATION,AGE,Xcoord0,Ycoord0,Xcoord1,Ycoord1
42101006900,3665,1,3,63,-75.21423369460248,39.92583639200186,-75.21148207836306,39.92994050398809
42101007400,1562,1,2,50,-75.21535238136904,39.93918733369145,-75.21560004757559,39.93888240465706
42101007000,948,1,2,61,-75.22559752435654,39.93426064284161,-75.22239817637157,39.93235240267206
42101007700,3075,1,3,72,-75.21089835056381,39.947630760391284,-75.20575207570762,39.947872900076135
42101007800,3235,2,5,49,-75.2131366580371,39.948269374315,-75.22118780472184,39.94781274420528
42101007300,3254,1,4,39,-75.22025746328451,39.94370664399869,-75.22290952837184,39.946366140823145
42101007100,41,1,3,41,-75.22662943810636,39.938269509889345,-75.22779473404302,39.93557135519691
42101007100,1903,1,3,55,-75.22603209202335,39.93754452963515,-75.22798535920096,39.93857298721478
42101007200,1409,1,3,57,-75.23294101194152,39.94198892830475,-75.23284574967396,39.942366247322
42101007800,2569,1,1,65,-75.2155482539087,39.94756429491825,-75.21934738151715,39.94491118384131
42101007400,1580,1,3,25,-75.21020425793166,39.94045387706413,-75.20902038647618,39.943240118826054
42101007000,334,2,1,63,-75.22486015035176,39.93365394661416,-75.22582222376978,39.93516364196125
42101007100,1442,1,2,49,-75.22258538774456,39.93842565488579,-75.2286769138602,39.94212008106597
42101007400,13,2,3,50,-75.21508395660719,39.93906302131113,-75.2149810746902,39.94162784413677
42101007800,360,2,1,63,-75.21697965440305,39.943951954255816,-75.21563186232413,39.94444316202967
42101006900,2977,1,2,26,-75.21646259867782,39.93329651523558,-75.21091355676424,39.93126779729601
42101007300,3468,1,2,45,-75.21941325715657,39.943101854622164,-75.22038390774551,39.94331528580092
42101007000,2138,1,3,54,-75.22039452721121,39.93903405066385,-75.21936532486937,39.93783210021632
42101007000,3241,1,2,62,-75.21841025151933,39.93419978345746,-75.21898608092955,39.93604024999249
42101007200,3484,1,1,58,-75.23086006202405,39.94311821196996,-75.23722184204291,39.94323111486203
42101007300,1413,1,2,52,-75.21987340491,39.94221305795038,-75.21707064762755,39.943499425418935
42101007400,2234,1,1,77,-75.21049903301864,39.93956778145457,-75.21290278533333,39.93995091836332
42101007000,3282,2,3,50,-75.22130052668965,39.93318752873787,-75.22270216119749,39.93572757870736
42101007400,747,2,3,59,-75.21715192358121,39.94125015438792,-75.21439080277844,39.941661320577325
42101007000,803,1,3,66,-75.2228705217245,39.93719327619529,-75.22367876184428,39.93482447072814
42101007800,2969,1,4,69,-75.21319561692474,39.94466519231065,-75.21149959452269,39.946272860030405
42101007800,1399,1,3,58,-75.2162894572127,39.947067398417566,-75.2166385674393,39.94769104398616
42101007300,1356,1,4,55,-75.22044997692954,39.94353307454662,-75.22128825957371,39.94541965696707
42101007000,2528,1,2,19,-75.2245893977802,39.93264335898155,-75.22114112566386,39.93758114988399
42101007000,2052,2,2,27,-75.22286471455689,39.93476870995692,-75.22324356389576,39.93532168828842
42101007100,3016,1,4,36,-75.22919812211606,39.93766736612519,-75.23111292750667,39.93842734390424
42101007200,1369,1,1,63,-75.23249052109693,39.942386246237824,-75.23486874338056,39.94547387108917
42101006900,712,1,3,23,-75.20952044920122,39.93098599890943,-75.21771642361263,39.93086700939212
42101007300,3344,2,3,41,-75.22362977187338,39.94585033138201,-75.22262569960573,39.946265630517296
42101006900,2150,1,3,25,-75.21246262137996,39.92514661718572,-75.2127123581947,39.926767287252225
42101007300,2212,2,3,58,-75.22149739604313,39.94602051459936,-75.2230287526274,39.945794393438966
42101007100,1766,1,2,36,-75.22247538137294,39.938550262918916,-75.22968102378776,39.94158825533166
42101007700,2560,2,4,33,-75.20618200306193,39.949242574454956,-75.20743115630796,39.94311981915326
42101007200,792,2,3,49,-75.23226303452061,39.94590849283366,-75.23198681897915,39.945913672306965
42101006900,2945,1,1,44,-75.22098776059536,39.930067084841674,-75.21577444823666,39.93335980001793
42101007100,209,1,1,47,-75.22601868530556,39.93743193238524,-75.22603540266809,39.93711515529472
42101007800,1563,1,5,63,-75.2162238788845,39.94653303633125,-75.21532931728727,39.94557443297354
42101007000,1530,2,2,48,-75.2234619246964,39.93445416990289,-75.22307229970173,39.933529705423744
42101007400,1822,2,2,27,-75.21169313323564,39.944801928949865,-75.2092990664615,39.94230661198095
42101007000,119,1,3,54,-75.21909358776989,39.93853363295717,-75.21977367097,39.93684170954645
42101007300,754,1,4,46,-75.2217162615865,39.94448200618543,-75.22271616126449,39.94275052517832
42101007700,829,1,3,23,-75.2069413195439,39.94455739449479,-75.20697130750509,39.94378942014169
42101007400,2458,1,2,70,-75.21614430288714,39.93901276088668,-75.21793302251189,39.939663745714306
42101007000,1643,1,5,50,-75.21790600698822,39.93690497288886,-75.21749857804333,39.93713742398993
42101007200,339,1,1,66,-75.23312033768758,39.94107874607752,-75.23690388498461,39.943669937437406
42101007200,2968,1,3,44,-75.23445875178894,39.941484702226354,-75.23284791905014,39.942130389483
42101007400,2053,1,1,46,-75.21384344017912,39.940636648825844,-75.2152865592284,39.942284659370365
42101007000,1703,1,3,57,-75.21869603062578,39.93712946749656,-75.21922646284678,39.93728265828284
42101007100,764,1,3,66,-75.22456912689603,39.93723318289432,-75.22883491449018,39.94115317286749
42101007000,245,1,2,24,-75.22551600353016,39.9346565401334,-75.22037671538399,39.93693562212405
42101007300,2177,1,3,49,-75.22609831761557,39.94503413487748,-75.22306061226485,39.94256800295583
42101007700,281,2,4,65,-75.20822236755077,39.94904773098523,-75.21051647736958,39.94876227774931
42101007400,2260,1,2,69,-75.21978967753968,39.939470131217895,-75.21341388452521,39.937640568818225
42101007800,2859,1,3,26,-75.22109045049214,39.94812028002074,-75.217585558413,39.948132646522865
42101007100,1972,1,4,62,-75.230317700946,39.93915338839024,-75.23022745252251,39.93905974386501
42101007100,3222,2,3,51,-75.22564069875102,39.9378061532151,-75.22743683495766,39.940857008570376
42101007100,1610,1,3,22,-75.22432816853956,39.93718398721564,-75.2232707230001,39.94204055474337
42101007800,910,2,4,59,-75.21515812904934,39.94730005535291,-75.2134737882987,39.94781798991747
42101007100,2151,1,2,73,-75.22588303648749,39.94124039182503,-75.22972403409528,39.93936928282055
42101007400,173,1,4,26,-75.21236553512506,39.944561326683775,-75.21134581018542,39.94278600813546
42101007200,3192,1,2,49,-75.23189935025248,39.9423692894975,-75.23148639961383,39.944048764967754
42101007400,1609,1,3,79,-75.21529501111432,39.93792635588345,-75.21570989103977,39.936175332510594
42101007100,1543,2,2,60,-75.2275595955684,39.94090969106764,-75.22774515109005,39.940152303132955
42101006900,1946,1,2,29,-75.22100585808884,39.93038498275591,-75.21611092998944,39.93440599223658
42101007300,55,2,5,49,-75.22282429420792,39.943255566069396,-75.223930415227,39.943182189792765
42101007100,2912,1,3,31,-75.22452795101546,39.93845744951698,-75.22729742380119,39.93723278898532
42101007000,532,1,2,63,-75.2235203043756,39.931502135474176,-75.22478482164557,39.93381024724301
42101007800,1664,2,5,36,-75.21464675022257,39.94820203309657,-75.21217446268135,39.94809344640438
42101007100,2572,1,3,55,-75.22569036181142,39.93715704277361,-75.223949856975,39.93780227992864
42101006900,252,1,3,31,-75.21352984957332,39.93189677455034,-75.2134798815198,39.930920496115625
42101007200,739,1,2,66,-75.23165153108788,39.94379941979367,-75.23786969223345,39.94581253604436
42101007700,2017,2,1,53,-75.20869704581784,39.94723898108667,-75.20785138833402,39.94717926816391
42101007800,214,1,5,32,-75.2171595845214,39.946781561612724,-75.21602294124753,39.947668810510095
42101007800,3152,2,2,40,-75.22017886448442,39.946989516762486,-75.22309763305623,39.947579551722896
42101006900,1574,2,2,29,-75.2175785591188,39.9281527299896,-75.21645230917088,39.927411659787595
42101006900,1315,1,1,56,-75.21862718346236,39.93251154142959,-75.2141735458915,39.93217188418568
42101007200,1669,2,4,59,-75.23313270904244,39.94463793833064,-75.23524200386817,39.94457951523414
42101006900,3182,1,3,25,-75.2163283973417,39.93019893165383,-75.21652168892612,39.93221811212703
42101007400,133,1,1,79,-75.21257368379217,39.93939150416976,-75.21239310099482,39.94027841656925
42101007100,2870,1,4,29,-75.2292855841782,39.93715947126514,-75.22831799985558,39.937538092799755
42101007300,1879,2,2,41,-75.22519973248772,39.94719442130354,-75.22241776245241,39.941874220676965
42101007200,2109,1,4,48,-75.2366800694393,39.94333955063225,-75.23620085548593,39.94295163154152
42101007100,2457,1,4,42,-75.23119666707694,39.93810826367174,-75.22568558570697,39.94179980420256
42101007300,3272,1,5,47,-75.22182646358752,39.94373306262231,-75.22133487858096,39.943217673463934
42101007200,3483,1,2,43,-75.22981256636305,39.9430902333076,-75.23757214071865,39.944715779954954
42101007000,942,1,2,66,-75.21797826342437,39.93593152778435,-75.219553879496,39.93467692392692
